user	likes	positive	negative	total	classification	positive_comments	negative_comments	total_comments
1455	4	0	0	5	NEUTRAL	0	0	1
1455	1	0	0	6	NEUTRAL	0	0	0
1455	0	0	0	2	NEUTRAL	0	0	0
1457	97	0	0	2	NEUTRAL	1	1	10
1476	25	1	0	6	POSITIVE	0	0	3
1476	23	0	0	5	NEUTRAL	0	1	1
1476	26	0	0	3	NEUTRAL	2	0	3
1487	28	0	0	11	NEUTRAL	0	0	6
1489	1	0	0	1	NEUTRAL	0	0	0
1489	0	0	0	1	NEUTRAL	0	0	0
1489	0	0	0	1	NEUTRAL	0	0	0
1489	10	0	0	1	NEUTRAL	0	0	0
1489	4	0	0	1	NEUTRAL	0	0	0
1489	95	1	0	70	POSITIVE	9	2	16
1489	33	0	0	1	NEUTRAL	2	0	2
1489	7	0	0	4	NEUTRAL	0	0	4
1498	10	0	0	3	NEUTRAL	0	0	0
1526	2	0	0	2	NEUTRAL	0	0	1
1526	49	0	1	29	NEGATIVE	5	0	14
1565	12	0	0	3	NEUTRAL	0	0	0
1597	0	0	0	2	NEUTRAL	0	0	1
1597	0	0	0	4	NEUTRAL	0	0	0
1597	19	0	0	15	NEUTRAL	3	1	11
1597	1	2	1	21	POSITIVE	0	1	3
1597	0	0	0	10	NEUTRAL	0	0	0
1597	0	0	0	13	NEUTRAL	0	0	0
1597	11	2	0	15	POSITIVE	6	2	10
1597	5	3	1	43	POSITIVE	1	0	1
1597	7	1	1	4	NEUTRAL	1	0	3
1610	2	1	0	19	POSITIVE	0	0	0
1610	2	1	0	14	POSITIVE	0	0	0
1610	1	1	0	5	POSITIVE	2	0	2
1610	2	1	0	5	POSITIVE	0	0	0
1610	0	0	0	3	NEUTRAL	0	0	0
1610	0	0	0	5	NEUTRAL	0	0	0
1610	2	0	0	9	NEUTRAL	0	0	0
1653	0	0	0	20	NEUTRAL	0	0	0
1653	8	0	0	3	NEUTRAL	0	0	0
1653	0	0	0	20	NEUTRAL	0	0	0
1653	2	0	0	17	NEUTRAL	5	0	5
1653	9	2	0	20	POSITIVE	6	1	17
1659	0	0	0	2	NEUTRAL	0	0	0
1669	0	0	0	1	NEUTRAL	0	0	1
1681	504	0	2	72	NEGATIVE	4	1	14
1681	263	0	0	5	NEUTRAL	6	2	23
1681	420	0	0	4	NEUTRAL	2	0	11
1684	1	0	0	2	NEUTRAL	0	0	0
1684	1	0	0	3	NEUTRAL	0	0	0
1689	264	0	0	14	NEUTRAL	13	1	50
1689	203	1	1	14	NEUTRAL	8	1	47
1707	14	1	1	7	NEUTRAL	0	0	0
1707	1	0	0	2	NEUTRAL	2	1	4
1707	1	0	0	18	NEUTRAL	4	1	11
1750	20	0	0	2	NEUTRAL	0	0	2
1756	0	0	0	17	NEUTRAL	0	0	0
1756	3	0	1	15	NEGATIVE	0	0	0
1756	2	0	1	11	NEGATIVE	0	0	0
1756	3	0	0	13	NEUTRAL	0	0	0
1756	3	0	0	8	NEUTRAL	0	0	0
1756	6	0	0	12	NEUTRAL	2	0	6
1758	5	2	1	16	POSITIVE	0	0	0
1773	41	2	0	14	POSITIVE	4	0	6
1773	27	3	1	32	POSITIVE	2	1	3
1773	1	3	0	18	POSITIVE	0	0	0
1773	3	0	0	4	NEUTRAL	0	0	1
1773	151	2	0	77	POSITIVE	5	1	12
1773	44	0	0	6	NEUTRAL	0	0	0
1773	0	1	0	13	POSITIVE	0	0	0
1792	0	1	0	9	POSITIVE	0	0	0
1793	66	0	0	4	NEUTRAL	2	1	3
1799	46	1	0	11	POSITIVE	0	1	4
1799	7	1	0	6	POSITIVE	3	0	4
1813	8	1	0	6	POSITIVE	3	0	9
1813	11	1	0	6	POSITIVE	3	0	10
1825	79	1	0	17	POSITIVE	1	1	4
1857	11	0	0	5	NEUTRAL	0	0	2
1857	38	0	0	5	NEUTRAL	1	0	3
1880	5	0	0	6	NEUTRAL	0	0	0
1880	8	0	0	5	NEUTRAL	1	0	2
1896	36	0	0	3	NEUTRAL	3	0	4
1912	28	0	0	10	NEUTRAL	0	0	2
1912	6	1	0	8	POSITIVE	3	0	7
1936	17	0	0	9	NEUTRAL	0	0	1
1936	23	3	0	27	POSITIVE	0	0	3
1936	2	0	0	5	NEUTRAL	0	0	0
1936	41	1	0	7	POSITIVE	2	1	6
1936	7	1	0	5	POSITIVE	0	0	0
1936	5	1	0	2	POSITIVE	0	0	0
1936	27	1	0	8	POSITIVE	1	0	2
1936	30	0	1	5	NEGATIVE	0	0	0
1936	19	2	1	34	POSITIVE	1	0	2
1950	9	0	2	24	NEGATIVE	0	0	0
1965	8	1	0	11	POSITIVE	4	2	12
1976	42	0	1	19	NEGATIVE	2	0	7
1976	5	1	0	9	POSITIVE	0	0	0
1976	7	0	0	3	NEUTRAL	0	0	0
1995	15	0	0	7	NEUTRAL	0	0	1
1995	29	0	0	2	NEUTRAL	0	1	2
2018	18	0	0	3	NEUTRAL	1	0	1
2029	5	0	0	4	NEUTRAL	0	0	0
2029	23	0	0	3	NEUTRAL	0	0	0
2029	5	0	0	4	NEUTRAL	0	0	0
2029	5	0	0	1	NEUTRAL	0	0	0
2029	7	0	0	1	NEUTRAL	0	0	0
2029	14	0	0	3	NEUTRAL	0	0	0
2029	3	0	0	4	NEUTRAL	0	0	0
2029	4	0	0	2	NEUTRAL	0	0	0
2029	3	0	0	4	NEUTRAL	0	0	0
2029	4	0	0	4	NEUTRAL	0	0	0
2029	8	0	0	4	NEUTRAL	0	0	0
2029	4	0	0	3	NEUTRAL	0	0	0
2029	7	0	0	4	NEUTRAL	0	0	0
2029	4	0	0	4	NEUTRAL	0	0	0
2029	7	0	0	2	NEUTRAL	0	0	0
2030	100	0	0	8	NEUTRAL	4	0	10
2030	7	3	0	22	POSITIVE	0	0	0
2055	2	1	0	21	POSITIVE	1	0	7
2055	34	0	0	8	NEUTRAL	0	0	1
2060	494	0	0	3	NEUTRAL	15	6	48
2060	141	0	0	2	NEUTRAL	7	0	15
2060	106	1	0	16	POSITIVE	2	0	6
2060	40	1	0	25	POSITIVE	4	0	6
2067	8	0	0	1	NEUTRAL	0	0	2
2067	11	0	2	29	NEGATIVE	0	1	1
2081	9	1	0	20	POSITIVE	0	0	1
2087	0	0	0	3	NEUTRAL	0	0	0
2093	17	0	0	6	NEUTRAL	0	0	0
2127	9	0	0	2	NEUTRAL	1	1	3
2127	0	1	0	5	POSITIVE	0	0	0
2129	2	1	0	11	POSITIVE	0	0	0
2133	0	0	0	5	NEUTRAL	0	0	0
2133	0	0	0	7	NEUTRAL	0	0	1
2133	1	1	1	9	NEUTRAL	0	0	0
2147	306	0	1	8	NEGATIVE	11	0	47
2147	75	0	0	6	NEUTRAL	6	2	13
2147	30	0	0	20	NEUTRAL	1	0	4
2166	0	3	1	57	POSITIVE	0	0	0
2166	0	0	0	32	NEUTRAL	0	0	0
2166	28	0	1	7	NEGATIVE	1	0	1
2166	0	2	0	10	POSITIVE	0	0	0
2166	1	0	0	11	NEUTRAL	1	0	1
2179	47	0	0	1	NEUTRAL	3	0	6
2179	34	1	1	21	NEUTRAL	1	0	2
2179	31	2	0	7	POSITIVE	0	0	1
2179	20	1	0	7	POSITIVE	0	0	0
2179	20	0	0	5	NEUTRAL	3	0	5
2185	24	0	0	3	NEUTRAL	0	0	0
2185	9	0	0	2	NEUTRAL	1	1	2
2185	18	0	0	6	NEUTRAL	0	0	0
2185	11	1	0	4	POSITIVE	0	0	1
2185	25	0	0	3	NEUTRAL	1	0	6
2185	30	0	0	4	NEUTRAL	0	0	9
2190	27	1	0	7	POSITIVE	1	0	1
2190	7	0	0	10	NEUTRAL	0	2	2
2194	46	0	0	1	NEUTRAL	1	0	4
2194	101	0	0	6	NEUTRAL	1	0	2
2194	87	0	0	1	NEUTRAL	0	0	0
2194	87	1	0	19	POSITIVE	1	0	3
2194	133	0	0	18	NEUTRAL	8	3	31
2194	106	0	0	3	NEUTRAL	0	0	1
2194	33	0	0	3	NEUTRAL	0	0	1
2194	63	0	0	2	NEUTRAL	2	0	7
2194	14	0	0	2	NEUTRAL	0	0	1
2229	27	1	0	13	POSITIVE	0	0	0
2229	50	1	2	51	NEGATIVE	3	1	7
2229	62	1	0	19	POSITIVE	5	3	20
2229	143	1	0	23	POSITIVE	4	0	6
2229	40	0	0	8	NEUTRAL	1	0	1
2229	52	4	0	23	POSITIVE	4	0	6
2229	33	0	0	16	NEUTRAL	0	1	5
2236	0	0	1	5	NEGATIVE	0	0	1
2236	0	0	0	8	NEUTRAL	0	0	0
2244	368	0	0	52	NEUTRAL	8	0	23
2244	20	1	0	19	POSITIVE	7	3	22
2265	29	0	0	10	NEUTRAL	0	0	5
2267	12	0	0	4	NEUTRAL	0	0	4
2267	13	0	0	12	NEUTRAL	3	1	5
2267	0	0	0	3	NEUTRAL	0	0	0
2341	15	0	0	25	NEUTRAL	1	1	2
2341	41	0	0	2	NEUTRAL	1	0	3
2341	162	0	0	2	NEUTRAL	5	0	14
2341	71	0	0	4	NEUTRAL	4	1	7
2341	8	0	0	4	NEUTRAL	0	0	1
2342	6	0	0	5	NEUTRAL	0	0	0
2342	57	0	1	10	NEGATIVE	2	0	5
2344	0	0	0	5	NEUTRAL	0	0	0
2356	0	1	0	29	POSITIVE	1	0	1
2356	3	0	0	7	NEUTRAL	0	0	0
2356	2	0	0	7	NEUTRAL	1	0	1
2356	14	0	0	10	NEUTRAL	1	0	4
2356	3	0	0	3	NEUTRAL	0	0	1
2356	9	0	0	8	NEUTRAL	0	1	5
2356	7	1	0	6	POSITIVE	0	0	1
2356	6	1	0	8	POSITIVE	0	0	0
2356	1	0	0	8	NEUTRAL	0	0	3
2362	11	3	0	15	POSITIVE	0	0	0
2367	11	0	0	7	NEUTRAL	0	0	4
2367	23	0	0	8	NEUTRAL	0	0	3
2367	58	0	0	12	NEUTRAL	7	0	11
2367	34	1	1	23	NEUTRAL	2	1	3
2369	84	1	0	7	POSITIVE	4	0	14
2369	39	1	0	15	POSITIVE	2	0	13
2369	37	0	0	6	NEUTRAL	3	0	5
2369	59	0	0	3	NEUTRAL	3	2	10
2384	121	0	2	13	NEGATIVE	2	2	8
2384	29	0	0	10	NEUTRAL	1	0	2
2384	16	1	0	13	POSITIVE	2	0	2
2389	11	0	0	8	NEUTRAL	0	0	8
2397	10	0	0	3	NEUTRAL	0	0	1
2397	6	0	0	27	NEUTRAL	0	0	1
2397	6	0	0	4	NEUTRAL	0	1	1
2397	75	0	0	4	NEUTRAL	1	1	4
2397	33	0	0	10	NEUTRAL	0	0	0
2397	12	0	0	3	NEUTRAL	0	0	0
2397	12	0	0	4	NEUTRAL	0	0	0
2435	6	0	0	11	NEUTRAL	0	0	1
2456	5	1	0	2	POSITIVE	0	0	0
2458	0	0	0	11	NEUTRAL	0	0	0
2458	0	1	0	9	POSITIVE	0	0	0
2458	0	0	0	9	NEUTRAL	0	0	1
2460	1	0	0	2	NEUTRAL	0	0	1
2474	5	0	1	5	NEGATIVE	1	0	2
2474	19	0	0	5	NEUTRAL	0	0	0
2474	15	2	0	28	POSITIVE	2	0	2
2474	6	1	0	12	POSITIVE	0	0	0
2474	80	0	0	10	NEUTRAL	7	0	13
2498	37	0	0	2	NEUTRAL	0	0	2
2498	21	0	0	5	NEUTRAL	0	0	3
2498	22	0	0	28	NEUTRAL	0	0	1
2498	18	2	0	17	POSITIVE	0	0	1
2498	31	0	0	4	NEUTRAL	0	0	3
2498	18	1	0	5	POSITIVE	0	0	0
2498	55	0	0	10	NEUTRAL	4	0	6
2531	0	3	1	30	POSITIVE	0	0	0
2531	0	0	0	7	NEUTRAL	0	0	0
2550	18	0	0	1	NEUTRAL	0	2	4
2566	20	0	0	5	NEUTRAL	3	0	4
2566	1	0	0	1	NEUTRAL	0	0	0
2566	2	0	0	1	NEUTRAL	0	0	1
2566	1	0	0	1	NEUTRAL	0	0	0
2578	2	0	0	4	NEUTRAL	0	0	0
2578	5	1	0	5	POSITIVE	0	0	0
2582	6	0	0	9	NEUTRAL	0	0	0
2582	0	1	0	8	POSITIVE	0	0	0
2582	13	1	0	8	POSITIVE	0	0	0
2582	0	1	1	10	NEUTRAL	0	0	0
2582	0	1	1	10	NEUTRAL	0	0	0
2587	11	2	0	30	POSITIVE	3	0	4
2592	15	0	0	7	NEUTRAL	0	0	0
2630	19	0	0	4	NEUTRAL	0	0	0
2630	15	0	0	15	NEUTRAL	0	0	0
2630	51	0	0	1	NEUTRAL	1	0	1
2630	12	0	0	6	NEUTRAL	0	0	0
2630	7	0	0	27	NEUTRAL	0	0	0
2647	26	0	0	4	NEUTRAL	0	0	2
2657	9	0	0	1	NEUTRAL	2	0	2
2657	5	1	0	10	POSITIVE	0	0	0
2657	6	0	0	1	NEUTRAL	1	0	2
2657	16	0	0	3	NEUTRAL	2	2	4
2657	12	0	0	3	NEUTRAL	0	0	0
2657	6	1	0	13	POSITIVE	0	0	0
2657	6	1	0	13	POSITIVE	0	0	0
